link,name,price,location
https://campsites.ph/campsite/tatlong-bato-campsite/71,Tatlong Bato Campsite,200,"tanay, rizal"
https://campsites.ph/campsite/pearl-beach-camp/70,Pearl Beach Camp,250,"medellin, cebu"
https://campsites.ph/campsite/paharuhay-campsite/69,Paharuhay Campsite,2500,"tabogon, cebu"
https://campsites.ph/campsite/jammes-campsite/68,Jamme's Campsite,1500,"cebu city (capital), cebu"
https://campsites.ph/campsite/bella-montana-farm/67,Bella Montana Farm,100,"bamban, tarlac"
https://campsites.ph/campsite/camp-morri/66,Camp Morri,300," antipolo, rizal"
https://campsites.ph/campsite/camp-sheva/65,Camp Sheva',125,"magalang, pampanga"
https://campsites.ph/campsite/marquez-bulalohan-camping-grounds/64,Marquez Bulalohan Camping Grounds,600,"real, quezon"
https://campsites.ph/campsite/hayati-river-kamp/63,Hayati River Kamp,800,"palauig, zambales"
https://campsites.ph/campsite/tinucan-river-and-nature-camp/62,Tinucan River and Nature Camp,500,"tanay, rizal"
https://campsites.ph/campsite/cauayan-forest-camping-resort/61,Cauayan Forest Camping Resort,450,"san jose, tarlac"
https://campsites.ph/campsite/coto-mines/60,Coto Mines,700,"masinloc, zambales"
https://campsites.ph/campsite/camp-cabaquilan/59,Camp Cabaquilan,350,"masinloc, zambales"
https://campsites.ph/campsite/the-shepherd-baptist-campsite/57,The Shepherd Baptist Campsite,200,"taysan, batangas"
https://campsites.ph/campsite/kuta-bungliw-eco-lodge-and-campsite/56,Kuta Bungliw Eco Lodge and Campsite,350,"general nakar, quezon"
https://campsites.ph/campsite/virfran-camp-ground/53,Virfran Camp Ground,200,"tagaytay city, cavite"
https://campsites.ph/campsite/bonne-riviere-nature-farm-resort/52,Bonne Riviere Nature Farm Resort,220,"indang, cavite"
https://campsites.ph/campsite/kalikasan-campsite/51,Kalikasan Campsite,1000,"tanay, rizal"
https://campsites.ph/campsite/ridges-and-clouds-nature-camp/50,Ridges and Clouds Nature Camp,2500,"tanay, rizal"
https://campsites.ph/campsite/rainbow-89-ecopark-camping-and-trekking/49,Rainbow 89 Ecopark,250,"tanay, rizal"
https://campsites.ph/campsite/tagpuan-camp-ecopark/48,Tagpuan Camp & Ecopark,1800,"tanay, rizal"
https://campsites.ph/campsite/two-rivers-teepees-treehouse/47,Two Rivers Teepees & Treehouse,599,"tanay, rizal"
https://campsites.ph/campsite/kamp-maysawa/46,Kamp Maysawa,3000,"tanay, rizal"
